Date,Asset,30D_Return,90D_Return
2024-07-08,Gold,,
2024-07-09,Gold,,
2024-07-10,Gold,,
2024-07-11,Gold,,
2024-07-12,Gold,,
2024-07-15,Gold,,
2024-07-16,Gold,,
2024-07-17,Gold,,
2024-07-18,Gold,,
2024-07-19,Gold,,
2024-07-22,Gold,,
2024-07-23,Gold,,
2024-07-24,Gold,,
2024-07-25,Gold,,
2024-07-26,Gold,,
2024-07-29,Gold,,
2024-07-30,Gold,,
2024-07-31,Gold,,
2024-08-01,Gold,,
2024-08-02,Gold,,
2024-08-05,Gold,,
2024-08-06,Gold,,
2024-08-07,Gold,,
2024-08-08,Gold,,
2024-08-09,Gold,,
2024-08-12,Gold,,
2024-08-13,Gold,,
2024-08-14,Gold,,
2024-08-15,Gold,,
2024-08-16,Gold,,
2024-08-19,Gold,0.06224528731979051,
2024-08-20,Gold,0.0640650586481597,
2024-08-21,Gold,0.05741503835062112,
2024-08-22,Gold,0.02645958689182204,
2024-08-23,Gold,0.039105179098487985,
2024-08-26,Gold,0.03912668812129705,
2024-08-27,Gold,0.0217674219387487,
2024-08-28,Gold,0.018820250225239255,
2024-08-29,Gold,0.030141080378504492,
2024-08-30,Gold,0.04103529485624091,
2024-09-03,Gold,0.04092805281929346,
2024-09-04,Gold,0.036929136272618734,
2024-09-05,Gold,0.0406496712098694,
2024-09-06,Gold,0.06020668546103547,
2024-09-09,Gold,0.05117649110425426,
2024-09-10,Gold,0.056787110262563445,
2024-09-11,Gold,0.044532265137733784,
2024-09-12,Gold,0.051390872108747265,
2024-09-13,Gold,0.06008215557623209,
2024-09-16,Gold,0.06377538619198897,
2024-09-17,Gold,0.06770208642295694,
2024-09-18,Gold,0.07601182290092301,
2024-09-19,Gold,0.08261869901694197,
2024-09-20,Gold,0.08161999634928008,
2024-09-23,Gold,0.07993088053040576,
2024-09-24,Gold,0.07667318726272776,
2024-09-25,Gold,0.07803948749767775,
2024-09-26,Gold,0.09449045225366204,
2024-09-27,Gold,0.07794217258176794,
2024-09-30,Gold,0.05503081510681862,
2024-10-01,Gold,0.06615236900227983,
2024-10-02,Gold,0.05407559677765095,
2024-10-03,Gold,0.059280896627990076,
2024-10-04,Gold,0.06732831217854907,
2024-10-07,Gold,0.054377352812415625,
2024-10-08,Gold,0.038646403747530034,
2024-10-09,Gold,0.0357710651828298,
2024-10-10,Gold,0.04782091069822081,
2024-10-11,Gold,0.05222320506565947,
2024-10-14,Gold,0.06175314659744546,
2024-10-15,Gold,0.06887827090501375,
2024-10-16,Gold,0.0724312604193531,
2024-10-17,Gold,0.07151393829737707,
2024-10-18,Gold,0.08830958539076605,
2024-10-21,Gold,0.08845632924652991,
2024-10-22,Gold,0.09230581452717845,
2024-10-23,Gold,0.08053015278978837,
2024-10-24,Gold,0.07200531306356206,
2024-10-25,Gold,0.06182925289451768,
2024-10-28,Gold,0.0629747349829004,
2024-10-29,Gold,0.07959281270883167,
2024-10-30,Gold,0.08472402573814142,
2024-10-31,Gold,0.05807575302477774,
2024-11-01,Gold,0.04530714902745392,
2024-11-04,Gold,0.04172857325575863,
2024-11-05,Gold,0.033607460507407705,
2024-11-06,Gold,0.003158899909227575,
2024-11-07,Gold,0.010674557489957381,
2024-11-08,Gold,0.016337008045293366,
2024-11-11,Gold,-0.00944582738209132,
2024-11-12,Gold,-0.02523152536127049,0.103940240278249
2024-11-13,Gold,-0.025046294579803452,0.09351296217946259
2024-11-14,Gold,-0.03345758278462718,0.08262372651309402
2024-11-15,Gold,-0.030274433508959975,0.06240163609601446
2024-11-18,Gold,-0.012931015782092325,0.0814416311749171
2024-11-19,Gold,0.004627188396271409,0.08427925359812449
2024-11-20,Gold,0.016193381109698812,0.07545486362766574
2024-11-21,Gold,0.019651987362001355,0.08852046786126633
2024-11-22,Gold,0.019679335778781448,0.1052695360043685
2024-11-25,Gold,-0.011707832701989718,0.09238156912048634
2024-11-26,Gold,-0.015442945451162982,0.09544316422580468
2024-11-27,Gold,-0.012752467335919948,0.09785402775157714
2024-11-29,Gold,-0.01263470828688218,0.10098203548713869
2024-12-02,Gold,-0.029037863524335572,0.12032825024482574
2024-12-03,Gold,-0.0287907692235968,0.1112184668789391
